ano,mes,nome_mes,regiao,is_pascoa,is_natal,is_dias_maes,is_namorados,is_data_especial,total_vendas,total_margem,qtd_transacoes,ticket_medio,vendas_ano_anterior,variacao_yoy_pct
2023,1,January,Centro-Oeste,False,False,False,False,False,19497.0,12176.0,291,67.0,,
2023,1,January,Nordeste,False,False,False,False,False,38393.7,23897.3,575,66.77,19497.0,96.92
2023,1,January,Norte,False,False,False,False,False,13892.1,8673.8,213,65.22,,
2023,1,January,Sudeste,False,False,False,False,False,138019.0,86183.1,2096,65.85,22144.5,523.27
2023,1,January,Sul,False,False,False,False,False,61538.6,38412.4,953,64.57,,
2023,2,February,Centro-Oeste,False,False,False,False,False,22144.5,14066.2,220,100.66,19350.2,14.44
2023,2,February,Nordeste,False,False,False,False,False,52740.8,33380.3,547,96.42,37955.65,38.95
2023,2,February,Norte,False,False,False,False,False,25056.2,15909.8,230,108.94,8071.3,210.44
2023,2,February,Sudeste,False,False,False,False,False,195229.6,123278.3,1999,97.66,,
2023,2,February,Sul,False,False,False,False,False,87320.6,55416.9,913,95.64,18910.3,361.76
2023,3,March,Centro-Oeste,False,False,False,False,False,19350.2,12235.6,179,108.1,26962.71,-28.23
2023,3,March,Centro-Oeste,True,False,False,False,True,37955.65,22877.95,408,93.03,,
2023,3,March,Nordeste,False,False,False,False,False,39200.0,24767.3,403,97.27,10706.5,266.13
2023,3,March,Nordeste,True,False,False,False,True,77978.38,47079.78,883,88.31,30770.51,153.42
2023,3,March,Norte,False,False,False,False,False,13657.4,8627.6,133,102.69,15334.2,-10.94
2023,3,March,Norte,True,False,False,False,True,26899.55,16194.75,331,81.27,,
2023,3,March,Sudeste,False,False,False,False,False,123993.3,78514.7,1306,94.94,15486.2,700.67
2023,3,March,Sudeste,True,False,False,False,True,267947.21,161632.61,3074,87.17,11572.74,2215.33
2023,3,March,Sul,False,False,False,False,False,57933.0,36657.8,583,99.37,17350.2,233.9
2023,3,March,Sul,True,False,False,False,True,129894.98,78512.98,1433,90.65,,
2023,4,April,Centro-Oeste,False,False,False,False,False,18910.3,11956.3,188,100.59,19892.3,-4.94
2023,4,April,Centro-Oeste,True,False,False,False,True,26962.71,16301.21,306,88.11,,
2023,4,April,Nordeste,False,False,False,False,False,33685.3,21282.2,395,85.28,12997.9,159.16
2023,4,April,Nordeste,True,False,False,False,True,58608.05,35389.85,657,89.21,8038.0,629.14
2023,4,April,Norte,False,False,False,False,False,12958.5,8223.1,156,83.07,12810.0,1.16
2023,4,April,Norte,True,False,False,False,True,22780.29,13731.29,241,94.52,,
2023,4,April,Sudeste,False,False,False,False,False,146860.9,92915.4,1542,95.24,18599.6,689.59
2023,4,April,Sudeste,True,False,False,False,True,198375.96,119118.46,2350,84.42,,
2023,4,April,Sul,False,False,False,False,False,62082.5,39279.0,657,94.49,20387.0,204.52
2023,4,April,Sul,True,False,False,False,True,89666.33,53909.83,1035,86.63,,
2023,5,May,Centro-Oeste,False,False,False,False,False,10706.5,6679.8,128,83.64,16812.8,-36.32
2023,5,May,Centro-Oeste,False,False,True,False,True,30770.51,18224.51,340,90.5,,
2023,5,May,Nordeste,False,False,False,False,False,32103.5,20026.3,311,103.23,41565.88,-22.76
2023,5,May,Nordeste,False,False,True,False,True,67999.63,40495.73,720,94.44,,
2023,5,May,Norte,False,False,False,False,False,10057.9,6273.6,117,85.96,38393.7,-73.8
2023,5,May,Norte,False,False,True,False,True,26351.79,15706.39,252,104.57,,
2023,5,May,Sudeste,False,False,False,False,False,118820.0,74139.9,1176,101.04,52740.8,125.29
2023,5,May,Sudeste,False,False,True,False,True,229235.43,135931.93,2461,93.15,,
2023,5,May,Sul,False,False,False,False,False,56482.1,35180.1,550,102.69,39200.0,44.09
2023,5,May,Sul,False,False,True,False,True,102510.1,61016.4,1125,91.12,77978.38,31.46
2023,6,June,Centro-Oeste,False,False,False,False,False,15486.2,9676.6,187,82.81,14821.5,4.48
2023,6,June,Centro-Oeste,False,False,False,True,True,11572.74,7176.04,128,90.41,,
2023,6,June,Nordeste,False,False,False,False,False,38395.5,23984.4,417,92.08,33685.3,13.98
2023,6,June,Nordeste,False,False,False,True,True,25376.74,15721.54,281,90.31,58608.05,-56.7
2023,6,June,Norte,False,False,False,False,False,18034.1,11228.6,170,106.08,,
2023,6,June,Norte,False,False,False,True,True,9160.0,5718.1,106,86.42,32103.5,-71.47
2023,6,June,Sudeste,False,False,False,False,False,152621.2,95270.6,1502,101.61,67999.63,124.44
2023,6,June,Sudeste,False,False,False,True,True,101575.02,62944.62,1044,97.29,33795.6,200.56
2023,6,June,Sul,False,False,False,False,False,73468.7,45768.1,702,104.66,,
2023,6,June,Sul,False,False,False,True,True,43929.73,27241.73,440,99.84,38395.5,14.41
2023,7,July,Centro-Oeste,False,False,False,False,False,19892.3,12439.9,303,65.65,25376.74,-21.61
2023,7,July,Nordeste,False,False,False,False,False,44615.5,27762.1,610,73.14,42456.3,5.09
2023,7,July,Norte,False,False,False,False,False,16511.5,10304.4,240,68.8,,
